Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Search_Volume_Category,Product_Category,Competition_Category,normalized_searches,normalized_competition,Opportunity_Score,Opportunity_Category
brown purse coach,INR,50000,0.0,0.0,High,100.0,104.41,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
dark brown coach wallet,INR,500,0.0,0.0,High,100.0,31.67,147.2,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach official website usa,INR,50,0.0,0.0,Low,23.0,149.77,149.77,Least Frequently Visited,general_coach,Low,1e-05,0.23,-9.1994,Low Opportunity
coach outlet cross bags,INR,50,0.0,0.0,High,100.0,53.92,216.52,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach bag with wallet,INR,5000,0.0,0.0,High,100.0,34.23,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach purses on sale crossbody,INR,50,0.0,0.0,High,70.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.7,-27.999399999999998,Low Opportunity
cross body bags for women coach,INR,5000,0.0,0.0,High,100.0,36.8,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet refer a friend,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
bifold wallet coach,INR,5000,0.0,0.0,High,100.0,26.53,117.25,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
silver coach wallet,INR,500,0.0,9.0,High,100.0,17.97,70.18,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
tote outlet,INR,500,0.0,0.0,High,98.0,34.23,140.35,Least Frequently Visited,handbags_purses,High,0.0001,0.98,-39.194,Low Opportunity
coach floral crossbody bag,INR,500,0.0,9.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
colorful coach backpack,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach male purse,INR,50000,0.0,0.0,High,100.0,73.6,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach body bag for women,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
black coach mini backpack,INR,500,0.0,0.0,High,99.0,,,Least Frequently Visited,backpacks,High,0.0001,0.99,-39.594,Low Opportunity
coach outlet sale shoes,INR,500,0.0,0.0,High,87.0,37.66,256.74,Least Frequently Visited,shoes,High,0.0001,0.87,-34.794000000000004,Low Opportunity
coach purse sale crossbody,INR,50,0.0,0.0,High,97.0,31.67,211.39,Least Frequently Visited,handbags_purses,High,1e-05,0.97,-38.7994,Low Opportunity
coach factory crossbody,INR,50,0.0,0.0,High,100.0,39.37,188.28,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
coach tan cross body bag,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
bag outlet near me,INR,50,9.0,9.0,High,99.0,20.54,122.38,Least Frequently Visited,handbags_purses,High,1e-05,0.99,-39.5994,Low Opportunity
blue coach purse outlet,INR,50,0.0,0.0,High,99.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.99,-39.5994,Low Opportunity
coach outlets laredo tx,INR,500,0.0,0.0,High,100.0,136.93,255.89,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach saddle wallet,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
crossbody purse coach outlet,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach female backpack,INR,50,0.0,0.0,Medium,43.0,,,Least Frequently Visited,backpacks,Medium,1e-05,0.43,-17.1994,Low Opportunity
backpack women coach,INR,50000,0.0,0.0,High,100.0,57.34,149.77,Moderate Visits,backpacks,High,0.01,1.0,-39.4,Low Opportunity
coach turquoise wallet,INR,50,0.0,9.0,High,100.0,13.08,42.79,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach items,INR,50,9.0,9.0,High,100.0,149.77,149.77,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach crossbody white bag,INR,50,0.0,0.0,High,89.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.89,-35.5994,Low Opportunity
coach black leather tote bag,INR,500,0.0,0.0,High,100.0,70.18,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach sling wallet,INR,50,0.0,0.0,Low,32.0,,,Least Frequently Visited,wallets,Low,1e-05,0.32,-12.7994,Low Opportunity
coach wallet bags,INR,5000,0.0,0.0,High,100.0,34.23,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach tote bag small,INR,5000,0.0,0.0,High,100.0,26.53,121.53,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach outlet zip wallet,INR,50,0.0,0.0,High,100.0,100.13,256.74,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach white shoes men,INR,50,9.0,9.0,High,100.0,20.79,123.24,Least Frequently Visited,shoes,High,1e-05,1.0,-39.9994,Low Opportunity
sling pack coach,INR,500,0.0,0.0,High,100.0,98.42,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach us store,INR,50,0.0,0.0,Medium,57.0,149.77,149.77,Least Frequently Visited,general_coach,Medium,1e-05,0.57,-22.7994,Low Opportunity
coach outlet women's leather jacket,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
tienda coach near me,INR,500,0.0,0.0,High,100.0,,,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
pink coach bag tote,INR,500,0.0,0.0,High,100.0,11.98,47.07,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach mini leather backpack,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach mens front pocket wallet,INR,50,0.0,0.0,High,73.0,22.64,37.85,Least Frequently Visited,wallets,High,1e-05,0.73,-29.199399999999997,Low Opportunity
coach boots outlet store online,INR,50,0.0,0.0,Medium,50.0,,,Least Frequently Visited,shoes,Medium,1e-05,0.5,-19.9994,Low Opportunity
coach outlet women's loafers,INR,50,0.0,0.0,High,100.0,18.83,256.74,Least Frequently Visited,shoes,High,1e-05,1.0,-39.9994,Low Opportunity
coach side bag black,INR,500,0.0,0.0,High,96.0,108.69,153.19,Least Frequently Visited,handbags_purses,High,0.0001,0.96,-38.394,Low Opportunity
black tote coach bag,INR,500,0.0,0.0,High,100.0,79.59,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
men's coach handbags,INR,500,9.0,9.0,High,96.0,149.77,244.48,Least Frequently Visited,handbags_purses,High,0.0001,0.96,-38.394,Low Opportunity
coach small crossbody wallet,INR,50,0.0,0.0,High,100.0,97.56,149.77,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
pink crossbody bag coach,INR,5000,0.0,9.0,High,100.0,15.4,58.2,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach small white bag,INR,50,0.0,0.0,High,100.0,25.67,147.96,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach two tone purse,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach website sale,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
white handbag coach,INR,50000,0.0,0.0,High,100.0,95.85,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach red purse outlet,INR,50,0.0,0.0,High,100.0,54.77,256.74,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach outlet handbags online store,INR,50,0.0,0.0,Medium,43.0,53.06,256.74,Least Frequently Visited,handbags_purses,Medium,1e-05,0.43,-17.1994,Low Opportunity
coach outlet india,INR,50,9.0,9.0,Medium,55.0,,,Least Frequently Visited,general_coach,Medium,1e-05,0.55,-21.9994,Low Opportunity
coach men's id wallet,INR,500,0.0,9.0,High,100.0,58.2,149.77,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach sling bag for ladies,INR,500,0.0,0.0,High,100.0,26.53,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
leather crossbody bag coach,INR,500,0.0,9.0,High,100.0,35.94,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach bags coach outlet,INR,50000,0.0,0.0,High,100.0,53.06,218.23,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach homepage,INR,5000,0.0,0.0,High,98.0,149.77,149.77,Moderate Visits,general_coach,High,0.001,0.98,-39.14,Low Opportunity
coach crossbody tote bag,INR,500,0.0,0.0,High,100.0,100.99,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
mens card holder coach,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach outlet ladies wallets,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach brown leather tote,INR,500,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach crossbody for women,INR,5000,0.0,0.0,High,100.0,55.63,149.77,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
us coach website,INR,500,9.0,0.0,High,82.0,149.77,149.77,Least Frequently Visited,general_coach,High,0.0001,0.82,-32.794000000000004,Low Opportunity
black and brown coach bag,INR,5000,0.0,0.0,High,100.0,28.24,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
blue bag coach,INR,50000,0.0,9.0,High,100.0,88.15,149.77,Moderate Visits,handbags_purses,High,0.01,1.0,-39.4,Low Opportunity
coach men messenger,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
coach purse navy blue,INR,5000,0.0,0.0,High,100.0,20.54,130.08,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach turquoise handbag,INR,500,0.0,0.0,High,100.0,18.83,93.04,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach zipper wallet women's,INR,50,0.0,0.0,High,99.0,67.61,132.65,Least Frequently Visited,wallets,High,1e-05,0.99,-39.5994,Low Opportunity
coach mens wallet with coin pocket,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach bifold card case,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach cross chest bag,INR,50,0.0,0.0,High,98.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.98,-39.199400000000004,Low Opportunity
coach 3 piece purse set,INR,50,0.0,0.0,High,77.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.77,-30.799400000000006,Low Opportunity
coach summer collection,INR,50,9.0,9.0,High,100.0,17.12,61.62,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
coach pouch purse,INR,500,0.0,9.0,High,100.0,70.18,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
pink coach mini backpack,INR,50,0.0,0.0,High,96.0,,,Least Frequently Visited,backpacks,High,1e-05,0.96,-38.3994,Low Opportunity
coach factory outlet usa,INR,5000,0.0,0.0,High,100.0,57.34,238.77,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
new coach crossbody,INR,50,0.0,9.0,High,100.0,55.63,149.77,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
coach teal crossbody bag,INR,50,0.0,0.0,High,95.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.95,-37.9994,Low Opportunity
coach designer handbags,INR,500,0.0,0.0,High,100.0,59.05,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
red coach backpack purse,INR,50,0.0,0.0,High,87.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.87,-34.799400000000006,Low Opportunity
white coach bag with flowers,INR,500,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet online backpacks,INR,50,0.0,0.0,Low,0.0,,,Least Frequently Visited,backpacks,,1e-05,0.0,0.0006000000000000001,Low Opportunity
coach limited edition,INR,500,0.0,9.0,High,100.0,21.4,116.39,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
black coach side bag,INR,500,0.0,0.0,High,96.0,108.69,153.19,Least Frequently Visited,handbags_purses,High,0.0001,0.96,-38.394,Low Opportunity
coachoutletcom,INR,5000,0.0,0.0,High,100.0,130.08,256.74,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach wallet with silver hardware,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
red crossbody bag coach,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
outlet coach outlet,INR,50,0.0,0.0,High,99.0,21.4,256.74,Least Frequently Visited,general_coach,High,1e-05,0.99,-39.5994,Low Opportunity
coach outlet summer bags,INR,50,9.0,9.0,High,100.0,68.46,252.46,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach billfolds on sale,INR,5000,0.0,0.0,High,100.0,23.96,149.77,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
pink and brown coach bag,INR,5000,0.0,0.0,High,100.0,11.13,57.41,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach official site usa,INR,50,0.0,0.0,Low,23.0,149.77,149.77,Least Frequently Visited,general_coach,Low,1e-05,0.23,-9.1994,Low Opportunity
coach outlet clear bag,INR,500,0.0,0.0,High,100.0,71.89,256.74,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach square crossbody bag,INR,500,0.0,-0.9,High,100.0,,,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach over body bag,INR,50,0.0,0.0,Medium,62.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.62,-24.7994,Low Opportunity
small black purse coach,INR,500,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
tan coach crossbody bag,INR,50,0.0,0.0,High,79.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.79,-31.599400000000006,Low Opportunity
coach handbags on sale factory outlet,INR,5000,0.0,0.0,High,100.0,35.26,240.48,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
nearest coach outlet to me,INR,500,-0.9,-0.9,High,85.0,47.93,248.19,Least Frequently Visited,general_coach,High,0.0001,0.85,-33.994,Low Opportunity
new coach backpack,INR,500,0.0,0.0,High,97.0,87.29,149.77,Least Frequently Visited,backpacks,High,0.0001,0.97,-38.794000000000004,Low Opportunity
coach crossbody wallet bag,INR,500,0.0,0.0,High,89.0,124.09,149.77,Least Frequently Visited,handbags_purses,High,0.0001,0.89,-35.594,Low Opportunity
coach bags and wallets,INR,5000,0.0,0.0,High,100.0,34.23,149.77,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach black and silver wallet,INR,50,0.0,0.0,High,99.0,,,Least Frequently Visited,wallets,High,1e-05,0.99,-39.5994,Low Opportunity
coach burgundy tote,INR,500,0.0,9.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach brown and red purse,INR,500,0.0,0.0,High,100.0,17.12,45.36,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
thecoachoutlet,INR,50,0.0,0.0,High,98.0,128.37,248.19,Least Frequently Visited,general_coach,High,1e-05,0.98,-39.199400000000004,Low Opportunity
coach berry wallet,INR,50,0.0,0.0,Medium,57.0,,,Least Frequently Visited,wallets,Medium,1e-05,0.57,-22.7994,Low Opportunity
coach crossbody bag beige,INR,50,0.0,0.0,Medium,62.0,,,Least Frequently Visited,handbags_purses,Medium,1e-05,0.62,-24.7994,Low Opportunity
coach haversack,INR,500,9.0,99.0,High,100.0,14.55,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
taupe coach wallet,INR,50,0.0,0.0,High,97.0,,,Least Frequently Visited,wallets,High,1e-05,0.97,-38.7994,Low Opportunity
hot pink coach crossbody,INR,50,0.0,0.0,High,99.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,0.99,-39.5994,Low Opportunity
coach pouch bag men's,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
white and gold coach purse,INR,500,0.0,0.0,High,100.0,11.98,42.79,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach city tote signature canvas,INR,500,9.0,9.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
mini coach crossbody purse,INR,50,0.0,0.0,High,92.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.92,-36.799400000000006,Low Opportunity
coach pink backpack purse,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach side bag women,INR,500,0.0,0.0,High,100.0,59.05,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
buy coach backpack,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,backpacks,High,1e-05,1.0,-39.9994,Low Opportunity
coach outlet bag men,INR,50,0.0,0.0,High,94.0,144.63,252.46,Least Frequently Visited,handbags_purses,High,1e-05,0.94,-37.5994,Low Opportunity
coach usa official website,INR,50,0.0,0.0,Medium,41.0,,,Least Frequently Visited,general_coach,Medium,1e-05,0.41,-16.3994,Low Opportunity
men's coach wallet with coin pocket,INR,50,0.0,0.0,Medium,50.0,,,Least Frequently Visited,wallets,Medium,1e-05,0.5,-19.9994,Low Opportunity
coach women bag sale,INR,500,0.0,0.0,High,100.0,24.82,178.58,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
green coach crossbody bag,INR,50,0.0,0.0,High,94.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.94,-37.5994,Low Opportunity
coach reserve meaning,INR,50,,0.0,Low,0.0,,,Least Frequently Visited,general_coach,,1e-05,0.0,0.0006000000000000001,Low Opportunity
coach crossbody bag red,INR,500,0.0,0.0,High,100.0,29.1,106.98,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach black and silver crossbody,INR,50,0.0,0.0,High,97.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,0.97,-38.7994,Low Opportunity
coach backpack near me,INR,50,0.0,0.0,High,97.0,,,Least Frequently Visited,backpacks,High,1e-05,0.97,-38.7994,Low Opportunity
coach men wallet set,INR,500,9.0,9.0,High,100.0,45.36,149.77,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
women bags outlet,INR,50,0.0,0.0,High,100.0,31.67,130.15,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach crossbody with pouch,INR,50,0.0,0.0,Medium,57.0,,,Least Frequently Visited,crossbody_bags,Medium,1e-05,0.57,-22.7994,Low Opportunity
coach men back pack,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
purse backpack coach,INR,500,0.0,0.0,High,100.0,40.22,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
mini coach backpack purse,INR,50,0.0,0.0,High,97.0,62.47,149.77,Least Frequently Visited,handbags_purses,High,1e-05,0.97,-38.7994,Low Opportunity
coach outlet shoes men,INR,500,0.0,0.0,High,100.0,128.37,256.74,Least Frequently Visited,shoes,High,0.0001,1.0,-39.994,Low Opportunity
coach original website,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,general_coach,High,1e-05,1.0,-39.9994,Low Opportunity
mini coach purse crossbody,INR,50,0.0,0.0,High,90.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.9,-35.9994,Low Opportunity
coach crossbody bag green,INR,50,-0.9,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach outlet purple bag,INR,500,0.0,0.0,High,100.0,70.18,256.74,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
card holder men coach,INR,50,0.0,0.0,High,78.0,,,Least Frequently Visited,wallets,High,1e-05,0.78,-31.199400000000004,Low Opportunity
coach sale tote,INR,5000,0.0,0.0,High,100.0,27.39,236.2,Moderate Visits,handbags_purses,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach factory handbags,INR,50,0.0,0.0,High,100.0,50.49,256.74,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach outlet locations near me,INR,500,9.0,9.0,High,91.0,,,Least Frequently Visited,general_coach,High,0.0001,0.91,-36.394000000000005,Low Opportunity
coach bag official website,INR,50,0.0,0.0,High,73.0,149.77,149.77,Least Frequently Visited,handbags_purses,High,1e-05,0.73,-29.199399999999997,Low Opportunity
discount coach purses outlet online,INR,50,0.0,,High,81.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.81,-32.39940000000001,Low Opportunity
coach logo crossbody,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
coach premium outlet online,INR,50,,0.0,Medium,54.0,,,Least Frequently Visited,general_coach,Medium,1e-05,0.54,-21.599400000000003,Low Opportunity
coach factory wallet,INR,50,0.0,0.0,High,100.0,59.91,215.66,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach wallet on a string,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach lilac wallet,INR,50,9.0,9.0,High,100.0,20.54,63.33,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
coach tote with red interior,INR,50,0.0,0.0,High,86.0,,,Least Frequently Visited,handbags_purses,High,1e-05,0.86,-34.3994,Low Opportunity
coach outlet premium outlet,INR,5000,0.0,0.0,High,100.0,121.53,256.74,Moderate Visits,general_coach,High,0.001,1.0,-39.940000000000005,Low Opportunity
new coach tote bags,INR,500,0.0,0.0,High,98.0,80.45,149.77,Least Frequently Visited,handbags_purses,High,0.0001,0.98,-39.194,Low Opportunity
long coach wallet,INR,500,0.0,0.0,High,100.0,22.25,80.45,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach white and gold purse,INR,500,9.0,9.0,High,100.0,10.27,122.38,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
black coach sling bag,INR,500,0.0,9.0,High,100.0,10.27,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
white coach purse small,INR,500,0.0,0.0,High,100.0,23.11,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
coach tan tote bag,INR,500,0.0,0.0,High,100.0,27.39,120.67,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
small crossbody coach,INR,5000,0.0,0.0,High,100.0,59.05,149.77,Moderate Visits,crossbody_bags,High,0.001,1.0,-39.940000000000005,Low Opportunity
coach shoes men white,INR,50,9.0,9.0,High,100.0,,,Least Frequently Visited,shoes,High,1e-05,1.0,-39.9994,Low Opportunity
coach black and red purse,INR,500,0.0,0.0,High,100.0,39.37,149.77,Least Frequently Visited,handbags_purses,High,0.0001,1.0,-39.994,Low Opportunity
green wallet coach,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
black coach backpack men,INR,50,0.0,0.0,High,99.0,,,Least Frequently Visited,backpacks,High,1e-05,0.99,-39.5994,Low Opportunity
coach outlet zip around wallet,INR,50,0.0,0.0,High,100.0,104.41,256.74,Least Frequently Visited,wallets,High,1e-05,1.0,-39.9994,Low Opportunity
cute coach crossbody bags,INR,50,0.0,0.0,High,100.0,56.07,149.77,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
chest bag coach,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
navy blue coach backpack,INR,50,0.0,0.0,High,96.0,,,Least Frequently Visited,backpacks,High,1e-05,0.96,-38.3994,Low Opportunity
coach bag back,INR,50,0.0,0.0,High,73.0,66.44,149.77,Least Frequently Visited,handbags_purses,High,1e-05,0.73,-29.199399999999997,Low Opportunity
coach outlet online wallets,INR,50,0.0,0.0,Low,18.0,,,Least Frequently Visited,wallets,Low,1e-05,0.18,-7.199399999999999,Low Opportunity
coach multicolor crossbody,INR,500,0.0,0.0,High,95.0,,,Least Frequently Visited,crossbody_bags,High,0.0001,0.95,-37.994,Low Opportunity
coach silver wallet,INR,500,0.0,0.0,High,100.0,15.4,81.3,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
white wallet coach,INR,5000,0.0,0.0,High,100.0,89.86,149.77,Moderate Visits,wallets,High,0.001,1.0,-39.940000000000005,Low Opportunity
women's coach clothing,INR,500,9.0,0.0,High,100.0,42.79,149.77,Least Frequently Visited,general_coach,High,0.0001,1.0,-39.994,Low Opportunity
coach outlet price check,INR,50,0.0,0.0,High,91.0,100.99,256.74,Least Frequently Visited,general_coach,High,1e-05,0.91,-36.39940000000001,Low Opportunity
coach outlet canvas bag,INR,50,9.0,9.0,High,100.0,132.65,256.74,Least Frequently Visited,handbags_purses,High,1e-05,1.0,-39.9994,Low Opportunity
coach lavender wallet,INR,500,0.0,0.0,High,100.0,55.63,149.77,Least Frequently Visited,wallets,High,0.0001,1.0,-39.994,Low Opportunity
coach ladies cross body bags,INR,50,0.0,0.0,Low,23.0,,,Least Frequently Visited,handbags_purses,Low,1e-05,0.23,-9.1994,Low Opportunity
coach gray wallet,INR,50,0.0,0.0,High,76.0,,,Least Frequently Visited,wallets,High,1e-05,0.76,-30.399400000000004,Low Opportunity
coach white cross body,INR,50,0.0,0.0,High,100.0,,,Least Frequently Visited,crossbody_bags,High,1e-05,1.0,-39.9994,Low Opportunity
coach bag shop,INR,5000,0.0,-0.9,High,91.0,77.88,149.77,Moderate Visits,handbags_purses,High,0.001,0.91,-36.34,Low Opportunity
